# 湘夫人 · Ralph progress
# 一轮一条。格式： round <n> | <PRD 第几条> | <做了什么> | <自检结论>
round 11 | PRD-1 | Ralph 化：PRD.md + progress.txt + 固定 prompt；页脚 loop 改标 Ralph；截图换 chrome-headless-shell 一次性进程 | 自检通过：三机位 5.7 秒拍完，画面未变，无人形，未碰 xiangfuren/ 以外
round 12 | PRD-2 | 衣裳重做：加密网格 + 褶 + 软下摆；布不反天光、薄料透光；提亮素绢；缩小贴镜头那件 | 自检通过：布读成布，无人形，只动 xiangfuren/
round 13 | PRD-3 | 木叶：会翻的窄叶、尺寸压小、五米内不落、密度补到 1000 | 自检通过：叶子读成叶子，无人形，只动 xiangfuren/
round 14 | PRD-4 | 夕张：水中屋廊下与北渚上各铺一处席案，白玉压角、案上空无一物，席下白薠压平 | 自检通过：骋望机位里看得清，无人形，只动 xiangfuren/
round 15 | PRD-5 | 天光调冷：暖光收到太阳周围一条窄边，地平线去金，雾色去黄 | 自检通过：最亮的不再是落日而是空席，无人形，只动 xiangfuren/
round 16 | PRD-6 | 涟漪：内外两条带的柔环，环心最亮、两边落到零，不吃掠角天光 | 自检通过：硬白线消失，无人形，只动 xiangfuren/
round 17 | PRD-7 | 去掉浏览器随机数，木叶与截图各走一条定序序列；连拍两次 md5 一致 | 自检通过：可复现，画面无回退，只动 xiangfuren/
round 18 | PRD-8 | 灯：席边与水中屋廊下各一盏，会呼吸的暖晕，唯一的暖色 | 自检通过：灯在骋望机位里看得见，无人形，只动 xiangfuren/
round 19 | PRD-9 | 沅有芷（白伞直杆）澧有兰（弯出去的窄叶丛），两处沙洲 + 北渚两侧水边 | 自检通过：骋望机位水边可见，两者剪影分得开，无人形，只动 xiangfuren/
round 20 | PRD-10 | 搴汀洲兮杜若：立着的宽叶 + 一小簇白花，三处，数量克制 | 自检通过：北渚机位中近景可见，与芷/兰剪影分明，无人形，只动 xiangfuren/
round 21 | PRD-11 | 灵之来兮如云：只贴九嶷山脊走的低云，按方位角/仰角取噪声，慢慢压过来 | 自检通过：骋望机位可见，另两机位不受影响，无人形，只动 xiangfuren/。PRD 待办清空
round 22 | PRD-12 | 蛟有了头，并在北渚边放了一条三十米长的大蛟，横在骋望机位的水面上 | 自检通过：机位里认得出是活物，无人形，只动 xiangfuren/
